id,question,instructor_answer,student_answer,score_grader_1,score_grader_2,score_avg
E04.Q06.A00,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,2.0,0.0,1.0
E04.Q06.A01,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error.,2.0,0.0,1.0
E04.Q06.A02,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,Using an index outside the bounds of the array generates a run-time error.,5.0,5.0,5.0
E04.Q06.A03,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run-time error,5.0,5.0,5.0
E04.Q06.A04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,Its a run-time error.,5.0,5.0,5.0
E04.Q06.A05,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run time error,5.0,5.0,5.0
E04.Q06.A06,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,Run-time error.,5.0,5.0,5.0
E04.Q06.A07,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run-time error,5.0,5.0,5.0
E04.Q06.A08,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,2.0,0.0,1.0
E04.Q06.A09,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,"This is a run-time error. The program will compile AND execute, so these errors can be difficult to debug.",5.0,5.0,5.0
E04.Q06.A10,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,this is a run-time error or execution-time error.,5.0,5.0,5.0
E04.Q06.A11,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,Run-time.,5.0,5.0,5.0
E04.Q06.A12,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run time,5.0,5.0,5.0
E04.Q06.A13,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,Generates a compilation error. The compiler will complain that the variable you are referring to was never declared.,2.0,0.0,1.0
E04.Q06.A14,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run-time,5.0,5.0,5.0
E04.Q06.A15,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,Run-time error.,5.0,5.0,5.0
E04.Q06.A16,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run time error,5.0,5.0,5.0
E04.Q06.A17,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,runtime error.,5.0,5.0,5.0
E04.Q06.A18,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,Compilation error.,2.0,0.0,1.0
E04.Q06.A19,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run-time error,5.0,5.0,5.0
E04.Q06.A20,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run-time error,5.0,5.0,5.0
E04.Q06.A21,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run-time error,5.0,5.0,5.0
E04.Q06.A22,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error.,2.0,0.0,1.0
E04.Q06.A23,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run-time error,5.0,5.0,5.0
E04.Q06.A24,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,not answered,0.0,0.0,0.0
E04.Q06.A25,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run-time error,5.0,5.0,5.0
E04.Q06.A26,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,2.0,0.0,1.0
E04.Q06.A27,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,2.0,0.0,1.0
E04.Q06.A28,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,"It will NOT cause a compilation error. It will either give a run-time error, or will give the value at that actual location in memory, causing a logic error.",5.0,5.0,5.0
E04.Q06.A29,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,it is a run-time error,5.0,5.0,5.0
E04.Q07.A00,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,"usually it is by rows then followed by the column, but it is up to the programmer to determine how values are stored in bi-dimensional arrays.",5.0,0.0,2.5
E04.Q07.A01,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by rows.,5.0,5.0,5.0
E04.Q07.A02,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,Multi-dimensional arrays are stored in memory by rows.,5.0,5.0,5.0
E04.Q07.A03,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,"A bi-dimensional/two-dimensional array is stored in a row-column matrix.  Where the first index indicates the row and the second indicates the column.  This means that when array elements are accessed in the order in which they are actually stored in memory, the right index changes faster than the left.",4.0,5.0,4.5
E04.Q07.A04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,They are stored in memory in rows.,5.0,5.0,5.0
E04.Q07.A05,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,rows,5.0,5.0,5.0
E04.Q07.A06,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,By rows.,5.0,5.0,5.0
E04.Q07.A07,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by rows,5.0,5.0,5.0
E04.Q07.A08,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,m-by-n. by row-column.,4.0,4.0,4.0
E04.Q07.A09,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,bi-dimensional arrays are stored by rows,5.0,5.0,5.0
E04.Q07.A10,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,By rows.,5.0,5.0,5.0
E04.Q07.A11,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,By column.,2.0,0.0,1.0
E04.Q07.A12,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,columns,2.0,0.0,1.0
E04.Q07.A13,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,By rows,5.0,5.0,5.0
E04.Q07.A14,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by-dimensional arrays are stored by row,5.0,5.0,5.0
E04.Q07.A15,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,"x by y is row by column.<br>So x is rows, and y is columns.<br>Since the length of the row is not needed when passing the array to the function, this leads me to believe that bi-dimensional arrays are stored by rows at a time.",5.0,5.0,5.0
E04.Q07.A16,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,"Both, they are stored in seperate sections.",4.0,1.0,2.5
E04.Q07.A17,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,"by rows, then columns.",4.0,5.0,4.5
E04.Q07.A18,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,Rows,5.0,5.0,5.0
E04.Q07.A19,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by rows of rows,5.0,5.0,5.0
E04.Q07.A20,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by rows,5.0,5.0,5.0
E04.Q07.A21,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,rows,5.0,5.0,5.0
E04.Q07.A22,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,stored by rows,5.0,5.0,5.0
E04.Q07.A23,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by rows,5.0,5.0,5.0
E04.Q07.A24,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by rows,5.0,5.0,5.0
E04.Q07.A25,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by rows,5.0,5.0,5.0
E04.Q07.A26,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,rows,5.0,5.0,5.0
E04.Q07.A27,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by row and column,4.0,1.0,2.5
E04.Q07.A28,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by rows,5.0,5.0,5.0
E04.Q07.A29,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,No answer,2.0,0.0,1.0
