question,expected_answer,student_answer,normalized_score,source
What are the two main functions defined by a queue?,enqueue and dequeue,"The two functions are, Enqueue and Dequeue",1.0,mohler
"Oil, water, and corn syrup are layered in a tall, thin container. All are at the same temperature. What does the layering tell you about the density of the oil compared to water?",The oil is less dense. The water is more dense.,Oil is less dense than water and it floats to the top.,1.0,scientsbank
"Look at the 2 pictures of drops on a flat, waterproof surface. The drop on the left is soapy water and the drop on the right is plain water. What causes the soapy water to look like it does?",The surface tension is broken by the soap so the soapy water drop is flat.,Well the water and the air form but then the soap comes and it is too slippery so it breaks the surface tension.,1.0,scientsbank
"Nigel made solutions in the bottles as shown below. Solution A was 2 spoons solute in 50 milliliters water and was clear with no material on the bottom. Solution B was 4 spoons solute in 100 milliliters water and was clear with no material on the bottom. Nigel took 50 milliliters of solution from bottle A and put it in cup A and 50 milliliters of solution from bottle B and put it into cup B. He put the cups on each side of the balance. Which picture shows what would happen? A is heavier than B, B is heavier than A, (A and B are the same weight). Explain your choice.",The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,I chose cup A because it seems more concentrated.,0.0,scientsbank
What is the relationship between an organism's range of tolerance and its optimum condition?,The optimum condition is within the range of tolerance.,"The tolerance is where it handles organism, is the same as the other one.",0.0,scientsbank
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,"A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",0.9,mohler
"John wanted to find the optimum conditions for growing peas. He planted pea seeds in 2 separate pots. He used the same amount and type of soil in each pot. He recorded daily care (amount of water and plant food) and results (plant length and number of leaves) after 2 weeks, as shown in the following chart. Did John do a good job of controlling the variables in his experiment? Explain why or why not.",No. John changed 2 variables at the same time (amount of water and amount of plant food) so John can not know which variables made a difference.,"No, Because 2 things are different that may have caused a problem.",1.0,scientsbank
"John wanted to find the optimum conditions for growing peas. He planted pea seeds in 2 separate pots. He used the same amount and type of soil in each pot. He recorded daily care (amount of water and plant food) and results (plant length and number of leaves) after 2 weeks, as shown in the following chart. Did John do a good job of controlling the variables in his experiment? Explain why or why not.",No. John changed 2 variables at the same time (amount of water and amount of plant food) so John can not know which variables made a difference.,"Yes, No explanation.",0.0,scientsbank
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,The advantages is that OOP allows us to build classes of objects.  Three principles that make up OOP are:<br><br>Encapsulation- Objects combine data and operations.<br><br>Inheritance- Classes can inherit properties from other classes.<br><br>Polymorphism- Objects can determine appropriate operations at execution time.,0.5,mohler
Describe how you can tell the difference between the crystals from the calcite test and salt crystals when you observe them in an evaporation dish.,The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).,"Calcite crystals, long needles. Salt crystals, X shape.",0.5,scientsbank
"Nathaniel and Sammy are trying to make up a code for sending messages to each other by dropping items in a drop chamber and listening to them. Sammy wants to design a code using blocks made of plastic, metal, and wood. Nathaniel thinks it would be a better idea to use wooden blocks of different sizes and shapes. Which student's method would make it easier to tell the difference between the sounds? Why?",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,Sammy - Because wood blocks of different shapes and sizes would sound the same so Sammy's is better.,0.5,scientsbank
"Oil, water, and corn syrup are layered in a tall, thin container. All are at the same temperature. What does the layering tell you about the density of the oil compared to water?",The oil is less dense. The water is more dense.,Water is less dense than oil.,0.0,scientsbank
Look at the picture of the bean seedling shortly after germination. Describe the function of each of the parts: seed coat.,The seed coat protects the seed until the plant begins to grow.,To protect.,0.5,scientsbank
"Sam and Jasmine were sitting on a park bench eating their lunches. A mosquito landed on Sam's arm and Sam began slapping at it. When he did that, he knocked Jasmine's soda into her lap, causing her to jump up. What was Sam's response?",Sam's response was to slap the mosquito.,Sam's response was slapping at it.,1.0,scientsbank
"Why does the water level in the straw go down when the bottle-and-straw thermometer is cooled, but not frozen?",Water contracts when the water is cooled.,When water is cooled the water level goes down because of the density. More dense.,1.0,scientsbank
"The machine you see in the picture is used to load steel beams onto delivery trucks. If there are no hooks or ropes that attach the steel beams to the lifting machine, how is it possible to move the steel beams onto the trucks? How is the machine able to drop the beams onto the truck?","When the electricity is turned off, the magnetism stops and the machine drops the beam onto the delivery truck.",The machines probably has a sensor that tells it when to drop the beam.,0.0,scientsbank
Look at the picture of the circuit to the right. What will happen to the motor if the light bulb burns out?,The motor will continue to run because the motor still has a pathway to the D-cell.,Nothing will happen.,0.5,scientsbank
Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. Can she run both the light and the motor at the same time? Why or why not?,No. Only one circuit can be complete at a time.,"She can run both at the same time because, if it is going to the negative and to the positive and all the components are set up correctly in the right way it will work.",0.0,scientsbank
"When Amy added water to a mixture of baking soda and citric acid, the mixture began fizzing. Amy concluded there was a chemical reaction because it fizzed. Why is fizzing evidence of a chemical reaction?","The fizzing indicates a gas, a new material, is produced. When a new material is produced, a chemical reaction has occurred.",Fizzing is a reaction.,0.0,scientsbank
What does the sizeof operator return?,The size in bytes of its operand.,Returns the size of the array in bytes during the program compilation.,0.9,mohler
The sand and flour in the gray material from mock rocks is separated by mixing with water and allowing the mixture to settle. Explain why the sand and flour separate.,The sand particles are larger and settle first. The flour particles are smaller and therefore settle more slowly.,It separates because of the water.,0.0,scientsbank
Look at the picture of a cow bone. What is the function of this type of bone?,The rib bones form a cage to protect the internal organs.,It is a rib because it is curved the way a rib curves.,0.5,scientsbank
"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. Describe 2 variables that are not controlled in the contest.",Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,That their balls are different.,0.5,scientsbank
Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,The rubber band vibrates.,It vibrates.,1.0,scientsbank
What is the advantage of linked lists over arrays?,"Linked lists are dynamic structures, which allow for a variable number of elements to be stored.",There is no predetermined length,1.0,mohler
"Wendy is making an electromagnet. She wrapped a long, insulated wire around an iron nail. What should Wendy do next to complete the electromagnet?",Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,Wendy should connect the insulated wire to a D-cell and a switch and that will be a complete circuit and it will attract iron or steel.,1.0,scientsbank
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Minerals X has 2 of them in a paperclip and penny. And the Y, Z and the minerals Y is the hardest in it.",0.0,scientsbank
What process forms deltas? A. Gravity B. Erosion (C. Deposition) D. Decomposition.  Explain how deltas form.,Earth materials erode and are carried by flowing water (a river). The earth materials form a delta when the materials are dropped off or deposited when the water stops flowing (at the mouth of a river).,It forms when a river goes to a larger part of water and it leaves particles behind.,1.0,scientsbank
"Oil, water, and corn syrup are layered in a tall, thin container. All are at the same temperature. What does the layering tell you about the density of the oil compared to water?",The oil is less dense. The water is more dense.,Oil is less tense because it is on the top water is denser and least dense the any.,1.0,scientsbank
"Matthew's mother left a plastic bottle full of water in the trunk of their car. The temperature dropped below 0 degrees Celsius that night. When his mother opened the trunk the next afternoon, she discovered the water bottle had cracked. Explain why the water bottle cracked.",The water froze. Water expands when water freezes so the ice needed more space.,When water freezes it expands.,0.5,scientsbank
"Beth made 2 solutions of different concentrations of water and citric acid. She put 50 milliliters of the first solution in cup X and 50 milliliters of the second solution in cup Y. When she put the cups on the balance, the balance looked as shown below. Which solution, X or Y, is more concentrated? Explain how you know which is more concentrated.","X. When equal amounts of 2 solutions are compared, the solution that is more concentrated will have the greater mass (weigh more). 50 milliliters of X has a greater mass than 50 milliliters of Y, so X must be more concentrated.","Y, y because it have to be less.",0.0,scientsbank
"Anna wants to compare the fat in walnuts and peanuts, but she isn't sure how. Write a procedure Anna can use to compare the fat in walnuts and peanuts.",Measure out equal masses of walnuts and peanuts. Smash the samples uniformly in the same size area on brown paper. Wait the same time for each sample.,1. Anna can use a brown paper bag. 2. Spread the food on the brown paper bag. 3. Wait 2 days. 4. See which one has the most grease spots.,0.5,scientsbank
"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. Describe what the girls need to do to make the contest a controlled experiment (fair test).",All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,"The girls needed to change each variable at a time, like starting at the same position, all 3 of them, and the mass of the balls.",0.5,scientsbank
"3 girls wanted to see who could throw a ball the farthest. Each girl brought her favorite ball to the park. Ling brought her basketball, Diana brought her football, and Rachael brought her baseball. They made a line on the playground. They all had to throw the ball from that line. Ling took 2 steps up to the line and threw her basketball. Diana stood at the line and threw her football. Rachael got a running start and threw her baseball when she reached the line. Rachael threw her ball the farthest. Describe 2 variables that are not controlled in the contest.",Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,"What kind of ball you use, and how you throw it.",0.5,scientsbank
What is a queue?,A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,A queue is like a stack except it follows FIFO (First in first out) .,1.0,mohler
What happens to earth materials during deposition?,Earth materials settle out during deposition.,After deposition earth material is carried out to river banks. Deltas form and into the ocean.,1.0,scientsbank
What is a queue?,A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,Is a list of items where the the user only has access to the first element and each new element is added at the end.,1.0,mohler
Look at the picture of a cow bone. Describe how you can tell which part of the cow this bone came from.,The bone is thin and curved.,I can tell because it is curved like a rib.,0.5,scientsbank
The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,The mangrove tree would probably die or the tree would not grow well because the tree needs a saltwater environment. Water without salt is outside of the tree's range of tolerance for salt.,The mangrove would probably die because saltwater environments is it is optimum condition.,0.5,scientsbank
During class Corey used the falling cup tool to check how fast he could move his hands and feet. Corey found that he couldn't move his right foot as fast as he could move his right hand. Use what you know about stimulus response time to explain why his right hand is faster than his right foot.,The right hand is faster than the right foot because the foot is farther from the brain. Therefore the message to respond takes longer to reach the foot than the message takes to reach the hand.,Because your brain and your hand is closer than your brain and your foot.,0.5,scientsbank
Andi and Scott decided to investigate solar water heaters using collectors of different colors (but the same size) as one variable and covered versus uncovered as a second variable. Look at the graph of their data and answer the questions below. Why would comparing only the red uncovered heater with the blue covered heater not provide useful information?,"When 2 variables are changed, it is impossible to determine which variable is causing what effect.",Because the red uncovered has a low temperature and blue covered has a high temperature.,0.5,scientsbank
"Sam and Jasmine were sitting on a park bench eating their lunches. A mosquito landed on Sam's arm and Sam began slapping at it. When he did that, he knocked Jasmine's soda into her lap, causing her to jump up. What was the stimulus for Sam?",Sam's stimulus was feeling (or seeing) the mosquito on Sam's arm.,To slap it and your arm has to trigger.,0.0,scientsbank
Diva's father told her she should not eat so many cookies because they were pure sugar. Diva decided to investigate the amount of sugar in Fruity Cream cookies. She performed the sugar test on 4 grams of pure sugar and on 4 grams of Fruity Cream cookies. The results are pictured at the right. Why did Diva need to test pure sugar?,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar because her dad said to not eat that many cookies because they are pure sugar.,0.5,scientsbank
